Date,Country,Cumulative number of case(s),Number of deaths,Number recovered
2003,United Kingdom,5,0,3
2003,United States,166,0,0
2003,Viet Nam,62,4,43
2003,Brazil,2,0,0
2003,Canada,101,10,26
2003,China,1309,58,1037
2003,"Hong Kong SAR, China",1108,35,215
2003,"Taiwan, China",23,0,7
2003,France,5,0,1
2003,Germany,6,0,4
2003,Italy,3,0,2
2003,Japan,4,0,0
2003,Kuwait,1,0,0
2003,Malaysia,4,1,0
2003,Republic of Ireland,1,0,1
2003,Romania,1,0,0
2003,Singapore,147,9,77
2003,South Africa,1,0,0
2003,Spain,1,0,0
2003,Switzerland,1,0,1
2003,Thailand,8,2,5
2003,United Kingdom,6,0,3
2003,United States,166,0,0
2003,China,62,4,46
2003,Brazil,2,0,0
2003,Canada,100,13,27
2003,China,1418,64,1088
2003,"Hong Kong SAR, China",1190,47,229
2003,"Taiwan, China",23,0,7
2003,France,5,0,1
2003,Germany,6,0,4
2003,Indonesia,1,0,0
2003,Italy,3,0,2
2003,Kuwait,1,0,0
2003,Malaysia,4,1,0
2003,Philippines,1,0,1
2003,Republic of Ireland,1,0,1
2003,Romania,1,0,0
2003,Singapore,158,12,84
2003,South Africa,1,0,0
2003,Spain,1,0,0
2003,Sweden,1,0,0
2003,Switzerland,1,0,1
2003,Thailand,8,2,5
2003,United Kingdom,6,0,3
2003,United States,174,0,0
2003,Viet Nam,63,5,46
2003,Brazil,2,0,0
2003,Canada,100,13,27
2003,China,1418,64,1088
2003,"Hong Kong SAR, China",1232,56,243
2003,"Taiwan, China",23,0,7
2003,France,5,0,1
2003,Germany,6,0,4
2003,Indonesia,1,0,0
2003,Italy,3,0,2
2003,Japan,1,0,0
2003,Kuwait,1,0,0
2003,Malaysia,4,1,0
2003,Philippines,1,0,1
2003,Republic of Ireland,1,0,1
2003,Romania,1,0,1
2003,Singapore,162,13,85
2003,South Africa,1,0,0
2003,Spain,1,0,0
2003,Sweden,1,0,0
2003,Switzerland,1,0,1
2003,Thailand,8,2,5
2003,United Kingdom,6,0,3
2003,United States,193,0,0
2003,Viet Nam,63,5,46
2003,Brazil,2,0,0
2003,Canada,103,13,37
2003,China,1432,64,1094
2003,"Hong Kong SAR, China",1268,61,257
2003,"Taiwan, China",27,0,10
2003,France,5,0,1
2003,Germany,6,0,4
2003,Indonesia,1,0,0
2003,Italy,3,0,2
2003,Japan,1,0,0
2003,Kuwait,1,0,0
2003,Malaysia,5,1,0
2003,Philippines,1,0,1
2003,Republic of Ireland,1,0,1
2003,Romania,1,0,1
2003,Singapore,162,13,85
2003,South Africa,1,0,0
2003,Spain,1,0,0
2003,Sweden,1,0,0
2003,Switzerland,1,0,1
2003,Thailand,8,2,5
2003,United Kingdom,6,0,3
2003,United States,193,0,0
2003,Viet Nam,63,5,46
2003,Australia,3,0,3
2003,Brazil,2,0,0
2003,Canada,126,12,46
2003,China,1457,65,1107
2003,"Hong Kong SAR, China",1297,65,272
2003,"Taiwan, China",27,0,10
2003,France,5,0,1
2003,Germany,6,0,4
2003,India,1,0,0
2003,Indonesia,1,0,0
2003,Italy,3,0,2
2003,Japan,2,0,0
2003,Kuwait,1,0,0
2003,Malaysia,5,1,0
2003,Mongolia,3,0,3
2003,Philippines,1,0,1
2003,Republic of Ireland,1,0,1
2003,Romania,1,0,1
2003,Singapore,167,15,91
2003,South Africa,1,0,0
2003,Spain,1,0,0
2003,Sweden,1,0,0
2003,Switzerland,1,0,1
2003,Thailand,8,2,5
2003,United Kingdom,6,0,3
2003,United States,199,0,0
2003,Viet Nam,63,5,46
2003,Australia,3,0,3
2003,Brazil,2,0,0
2003,Canada,132,12,54
2003,China,1512,65,1140
2003,"Hong Kong SAR, China",1358,81,363
2003,"Taiwan, China",29,0,17
2003,France,5,0,1
2003,Germany,6,0,4
2003,India,1,0,1
2003,Indonesia,1,0,0
2003,Italy,3,0,2
2003,Japan,4,0,0
2003,Kuwait,1,0,0
2003,Malaysia,5,1,0
2003,Mongolia,3,0,3
2003,Philippines,1,0,1
2003,Republic of Ireland,1,0,1
2003,Romania,1,0,1
2003,Singapore,177,16,100
2003,South Africa,1,0,0
2003,Spain,1,0,0
2003,Sweden,3,0,0
2003,Switzerland,1,0,1
2003,Thailand,7,2,6
2003,United Kingdom,6,0,5
2003,United States,220,0,0
2003,Viet Nam,63,5,46
2003,Australia,3,0,3
2003,Brazil,2,0,0
2003,Canada,132,12,54
2003,China,1512,65,1140
2003,"Hong Kong SAR, China",1358,81,363
2003,"Taiwan, China",29,0,17
2003,France,5,0,1
2003,Germany,6,0,4
2003,India,1,0,1
2003,Indonesia,1,0,0
2003,Italy,3,0,2
2003,Japan,4,0,0
2003,Kuwait,1,0,0
2003,Malaysia,5,1,0
2003,Mongolia,3,0,3
2003,Philippines,1,0,1
2003,Republic of Ireland,1,0,1
2003,Romania,1,0,1
2003,Singapore,177,16,100
2003,South Africa,1,0,0
2003,Spain,1,0,0
2003,Sweden,3,0,0
2003,Switzerland,1,0,1
2003,Thailand,7,2,6
2003,United Kingdom,6,0,5
2003,United States,220,0,0
2003,Viet Nam,63,5,46
2003,Australia,3,0,3
2003,Brazil,2,0,0
2003,Canada,132,12,54
2003,China,1959,86,1187
2003,"Hong Kong SAR, China",1402,94,436
2003,"Taiwan, China",29,0,17
2003,France,5,0,1
2003,Germany,6,0,4
2003,India,1,0,1
2003,Indonesia,1,0,0
2003,Italy,3,0,2
2003,Japan,5,0,0
2003,Kuwait,1,0,1
2003,Malaysia,6,1,0
2003,Mongolia,3,0,3
2003,Philippines,2,1,1
2003,Republic of Ireland,1,0,1
2003,Romania,1,0,1
2003,Singapore,178,16,104
2003,South Africa,1,0,0
2003,Spain,1,0,0
2003,Sweden,3,0,0
2003,Switzerland,1,0,1
2003,Thailand,7,2,5
2003,United Kingdom,6,0,5
2003,United States,39,0,0
2003,Viet Nam,63,5,46
2003,Australia,3,0,3
2003,Brazil,2,0,0
2003,Canada,139,13,65
2003,China,2001,92,1201
2003,"Hong Kong SAR, China",1434,99,461
2003,"Taiwan, China",29,0,21
2003,France,5,0,1
2003,Germany,7,0,6
2003,India,1,0,1
2003,Indonesia,1,0,0
2003,Italy,3,0,2
2003,Japan,2,0,0
2003,Kuwait,1,0,1
2003,Malaysia,6,1,0
2003,Mongolia,3,0,3
2003,Philippines,2,1,1
2003,Republic of Ireland,1,0,1
2003,Romania,1,0,1
2003,Singapore,186,16,110
2003,South Africa,1,0,0
2003,Spain,1,0,0
2003,Sweden,3,0,0
2003,Switzerland,1,0,1
2003,Thailand,7,2,5
2003,United Kingdom,6,0,5
2003,United States,38,0,0
2003,Viet Nam,63,5,46
2003,Australia,4,0,3
2003,Brazil,2,0,0
2003,Canada,140,13,65
2003,China,2305,106,1231
2003,"Hong Kong SAR, China",1458,105,522
2003,"Taiwan, China",37,0,21
2003,France,5,0,1
2003,Germany,7,0,6
2003,India,1,0,1
2003,Indonesia,1,0,0
2003,Italy,3,0,2
2003,Japan,2,0,0
2003,Kuwait,1,0,1
2003,Malaysia,5,2,2
2003,Mongolia,3,0,3
2003,Philippines,2,1,1
2003,Republic of Ireland,1,0,1
2003,Romania,1,0,1
2003,Singapore,189,17,114
2003,South Africa,1,0,0
2003,Spain,1,0,0
2003,Sweden,3,0,0
2003,Switzerland,1,0,1
2003,Thailand,7,2,5
2003,United Kingdom,6,0,5
2003,United States,39,0,0
2003,Viet Nam,63,5,46
2003,Brazil,2,0,2
2003,Bulgaria,1,0,0
2003,Canada,140,15,67
2003,China,2422,110,1254
2003,"Hong Kong SAR, China",1488,109,567
2003,"Taiwan, China",37,0,21
2003,France,5,0,1
2003,Germany,7,0,6
2003,India,1,0,1
2003,Indonesia,1,0,1
2003,Italy,4,0,3
2003,Japan,2,0,0
2003,Kuwait,1,0,1
2003,Malaysia,5,2,2
2003,Mongolia,3,0,3
2003,Philippines,2,1,1
2003,Republic of Ireland,1,0,1
2003,Romania,1,0,1
2003,Singapore,192,19,118
2003,South Africa,1,0,0
2003,Spain,1,0,1
2003,Sweden,3,0,2
2003,Switzerland,1,0,1
2003,Thailand,8,2,5
2003,United Kingdom,6,0,6
2003,United States,37,0,0
2003,Viet Nam,63,5,49
2003,Brazil,2,0,2
2003,Bulgaria,1,0,0
2003,Canada,140,15,74
2003,China,2601,115,1277
2003,"Hong Kong SAR, China",1510,115,614
2003,"Taiwan, China",41,0,21
2003,France,5,0,1
2003,Germany,7,0,6
2003,India,1,0,1
2003,Indonesia,1,0,1
2003,Italy,4,0,3
2003,Japan,2,0,0
2003,Kuwait,1,0,1
2003,Malaysia,5,2,2
2003,Mongolia,3,0,3
2003,Philippines,2,1,1
2003,Republic of Ireland,1,0,1
2003,Romania,1,0,1
2003,Singapore,195,19,126
2003,South Africa,1,0,0
2003,Spain,1,0,1
2003,Sweden,3,0,2
2003,Switzerland,1,0,1
2003,Thailand,8,2,5
2003,United Kingdom,6,0,6
2003,United States,39,0,0
2003,Viet Nam,63,5,53
2003,Brazil,2,0,2
2003,Bulgaria,1,0,0
2003,Canada,142,18,77
2003,China,2753,122,1285
2003,"Hong Kong SAR, China",1527,121,632
2003,"Taiwan, China",49,0,25
2003,France,5,0,1
2003,Germany,7,0,6
2003,India,1,0,1
2003,Indonesia,1,0,1
2003,Italy,4,0,3
2003,Japan,2,0,0
2003,Kuwait,1,0,1
2003,Malaysia,5,2,2
2003,Mongolia,5,0,3
2003,Philippines,4,2,1
2003,Republic of Ireland,1,0,1
2003,Romania,1,0,1
2003,Singapore,198,21,126
2003,South Africa,1,0,0
2003,Spain,1,0,1
2003,Sweden,3,0,2
2003,Switzerland,1,0,1
2003,Thailand,7,2,5
2003,United Kingdom,6,0,6
2003,United States,41,0,0
2003,Viet Nam,63,5,53
2003,Brazil,2,0,2
2003,Bulgaria,1,0,0
2003,Canada,142,18,77
2003,China,2914,131,1299
2003,"Hong Kong SAR, China",1557,138,710
2003,"Taiwan, China",66,0,25
2003,France,5,0,1
2003,Germany,7,0,6
2003,India,1,0,1
2003,Indonesia,1,0,1
2003,Italy,8,0,3
2003,Japan,2,0,0
2003,Kuwait,1,0,1
2003,Malaysia,6,2,2
2003,Mongolia,5,0,3
2003,Philippines,4,2,1
2003,Republic of Ireland,1,0,1
2003,Romania,1,0,1
2003,Singapore,199,23,137
2003,South Africa,1,0,0
2003,Spain,1,0,1
2003,Sweden,3,0,2
2003,Switzerland,1,0,1
2003,Thailand,7,2,5
2003,United Kingdom,6,0,6
2003,United States,41,0,0
2003,Viet Nam,63,5,53
2003,Brazil,2,0,2
2003,Bulgaria,1,0,0
2003,Canada,146,20,86
2003,China,3303,148,1322
2003,"Hong Kong SAR, China",1572,150,759
2003,"Taiwan, China",66,0,25
2003,France,5,0,1
2003,Germany,7,0,6
2003,India,1,0,1
2003,Indonesia,1,0,1
2003,Italy,9,0,4
2003,Japan,2,0,0
2003,Kuwait,1,0,1
2003,Malaysia,6,2,3
2003,Mongolia,5,0,3
2003,Philippines,4,2,1
2003,Republic of Ireland,1,0,1
2003,Republic of Korea,1,0,0
2003,Romania,1,0,1
2003,Singapore,201,24,139
2003,South Africa,1,0,0
2003,Spain,1,0,1
2003,Sweden,3,0,2
2003,Switzerland,1,0,1
2003,Thailand,7,2,5
2003,United Kingdom,6,0,6
2003,United States,41,0,0
2003,Viet Nam,63,5,53
2003,Brazil,2,0,2
2003,Bulgaria,1,0,0
2003,Canada,148,20,87
2003,China,3460,159,1332
2003,"Hong Kong SAR, China",1589,157,791
2003,"Macao SAR, China",1,0,0
2003,"Taiwan, China",78,1,25
2003,France,5,0,1
2003,Germany,7,0,7
2003,Indonesia,2,0,1
2003,Italy,9,0,4
2003,Japan,2,0,0
2003,Kuwait,1,0,1
2003,Malaysia,6,2,3
2003,Mongolia,6,0,3
2003,Philippines,4,2,1
2003,Republic of Ireland,1,0,1
2003,Republic of Korea,1,0,0
2003,Romania,1,0,1
2003,Singapore,201,24,139
2003,South Africa,1,0,0
2003,Spain,1,0,1
2003,Sweden,3,0,2
2003,Switzerland,1,0,1
2003,Thailand,7,2,5
2003,United Kingdom,6,0,6
2003,United States,52,0,0
2003,Viet Nam,63,5,53
2003,Brazil,2,0,2
2003,Bulgaria,1,0,0
2003,Canada,147,20,87
2003,China,3638,170,1351
2003,"Hong Kong SAR, China",1600,162,834
2003,"Macao SAR, China",1,0,0
2003,"Taiwan, China",89,3,25
2003,France,5,0,1
2003,Germany,7,0,7
2003,Indonesia,2,0,1
2003,Italy,9,0,4
2003,Japan,2,0,0
2003,Kuwait,1,0,1
2003,Malaysia,6,2,3
2003,Mongolia,6,0,3
2003,Philippines,4,2,1
2003,Poland,1,0,0
2003,Republic of Ireland,1,0,1
2003,Republic of Korea,1,0,0
2003,Romania,1,0,1
2003,Singapore,201,25,143
2003,South Africa,1,0,0
2003,Spain,1,0,1
2003,Sweden,3,0,2
2003,Switzerland,1,0,1
2003,Thailand,7,2,5
2003,United Kingdom,6,0,6
2003,United States,54,0,23
2003,Viet Nam,63,5,56
2003,Brazil,2,0,2
2003,Bulgaria,1,0,0
2003,Canada,149,22,93
2003,China,3799,181,1372
2003,"Hong Kong SAR, China",1611,170,878
2003,"Macao SAR, China",1,0,0
2003,"Taiwan, China",100,8,25
2003,France,5,0,4
2003,Germany,7,0,7
2003,Indonesia,2,0,1
2003,Italy,9,0,4
2003,Kuwait,1,0,1
2003,Malaysia,6,2,3
2003,Mongolia,8,0,4
2003,New Zealand,1,0,1
2003,Philippines,3,2,1
2003,Poland,1,0,0
2003,Republic of Ireland,1,0,1
2003,Republic of Korea,1,0,0
2003,Romania,1,0,1
2003,Singapore,203,25,146
2003,South Africa,1,0,0
2003,Spain,1,0,1
2003,Sweden,3,0,2
2003,Switzerland,1,0,1
2003,Thailand,7,2,5
2003,United Kingdom,6,0,6
2003,United States,56,0,24
2003,Viet Nam,63,5,56
2003,Brazil,2,0,2
2003,Bulgaria,1,0,0
2003,Canada,149,22,94
2003,China,3971,190,1406
2003,"Hong Kong SAR, China",1621,179,898
2003,"Macao SAR, China",1,0,0
2003,"Taiwan, China",100,8,25
2003,France,5,0,4
2003,Germany,7,0,7
2003,Indonesia,2,0,1
2003,Italy,9,0,4
2003,Kuwait,1,0,1
2003,Malaysia,6,2,3
2003,Mongolia,8,0,4
2003,New Zealand,1,0,1
2003,Philippines,3,2,1
2003,Poland,1,0,0
2003,Republic of Ireland,1,0,1
2003,Republic of Korea,1,0,0
2003,Romania,1,0,1
2003,Singapore,203,25,147
2003,South Africa,1,0,1
2003,Spain,1,0,1
2003,Sweden,3,0,2
2003,Switzerland,1,0,1
2003,Thailand,7,2,5
2003,United Kingdom,6,0,6
2003,United States,54,0,24
2003,Viet Nam,63,5,58
2003,Brazil,2,0,2
2003,Bulgaria,1,0,0
2003,Canada,148,22,93
2003,China,4280,206,1433
2003,"Hong Kong SAR, China",1637,187,930
2003,"Macao SAR, China",1,0,0
2003,"Taiwan, China",116,8,25
2003,France,5,0,4
2003,Germany,7,0,7
2003,Indonesia,2,0,1
2003,Italy,9,0,4
2003,Kuwait,1,0,1
2003,Malaysia,7,2,4
2003,Mongolia,8,0,4
2003,New Zealand,1,0,1
2003,Philippines,3,2,1
2003,Poland,1,0,0
2003,Republic of Ireland,1,0,1
2003,Republic of Korea,1,0,0
2003,Romania,1,0,1
2003,Singapore,204,26,149
2003,South Africa,1,1,0
2003,Spain,1,0,1
2003,Sweden,3,0,2
2003,Switzerland,1,0,1
2003,Thailand,7,2,5
2003,United Kingdom,6,0,6
2003,United States,61,0,26
2003,Viet Nam,63,5,58
2003,Brazil,2,0,2
2003,Bulgaria,1,0,0
2003,Canada,148,22,93
2003,China,4409,214,1460
2003,"Hong Kong SAR, China",1646,193,958
2003,"Macao SAR, China",1,0,0
2003,"Taiwan, China",116,10,25
2003,Colombia,1,0,1
2003,France,5,0,4
2003,Germany,7,0,7
2003,India,1,0,0
2003,Indonesia,2,0,1
2003,Italy,9,0,4
2003,Kuwait,1,0,1
2003,Malaysia,7,2,4
2003,Mongolia,8,0,4
2003,New Zealand,1,0,1
2003,Philippines,3,2,1
2003,Poland,1,0,0
2003,Republic of Ireland,1,0,1
2003,Republic of Korea,1,0,0
2003,Romania,1,0,1
2003,Singapore,204,27,149
2003,South Africa,1,1,0
2003,Spain,1,0,1
2003,Sweden,3,0,2
2003,Switzerland,1,0,1
2003,Thailand,7,2,5
2003,United Kingdom,6,0,6
2003,United States,65,0,32
2003,Viet Nam,63,5,58
2003,Brazil,2,0,2
2003,Bulgaria,1,0,0
2003,Canada,146,22,93
2003,China,4560,219,1487
2003,"Hong Kong SAR, China",1654,204,984
2003,"Macao SAR, China",1,0,0
2003,"Taiwan, China",125,11,26
2003,Colombia,1,0,1
2003,France,6,0,4
2003,Germany,8,0,7
2003,India,1,0,0
2003,Indonesia,2,0,1
2003,Italy,9,0,5
2003,Kuwait,1,0,1
2003,Malaysia,7,2,4
2003,Mongolia,9,0,6
2003,New Zealand,1,0,1
2003,Philippines,10,2,2
2003,Poland,1,0,0
2003,Republic of Ireland,1,0,1
2003,Republic of Korea,1,0,0
2003,Romania,1,0,1
2003,Singapore,204,27,150
2003,South Africa,1,1,0
2003,Spain,1,0,1
2003,Sweden,3,0,2
2003,Switzerland,1,0,1
